pid,case_id,mode,score,evidence,axes,tcm,intervention
P19-ctrl-strong,CASE-006,general,0.9,L1,络脉-清瘀(senolytics); 先天-肾精(表观时钟),扶正祛瘀 / 延缓衰老,D+Q intermittent dosing (AFFIRM trial)
P19-ctrl-strong,CASE-007,general,0.9,L1,阴阳-昼夜(CLOCK/BMAL1),子午流注 / 阳气当令进食,Early vs Late TRE (12-week RCT)
P19-ctrl-strong,CASE-008,general,0.9,L1,阴阳-昼夜(CLOCK/BMAL1); 正邪-炎症,节律饮食 / 运化痰湿,16:8 限时进食 4 个月（肝脂）
P19-ctrl-strong,CASE-030,general,0.9,L1,阴阳-昼夜(CLOCK/BMAL1); 正邪-炎症,节律饮食/运化痰湿,Intermittent fasting strategies network meta-analysis
P20-ctrl-empty,CASE-001,general,0.9,L1,气化/自噬(AMPK-mTOR); 阴阳-昼夜(CLOCK/BMAL1),气化 / 脾运化（促运化、通腑）,间歇性断食(IF) 4 周
P20-ctrl-empty,CASE-003,general,0.9,L1,气化/自噬(AMPK-mTOR); 先天-肾精(表观时钟),辟谷 / 气化重启,模拟禁食(FMD) 3 个月
P20-ctrl-empty,CASE-004,general,0.9,L1,气血-线粒体(PGC-1α/SIRT); 神-情志(HRV/EEG),导引 / 行气（动则生阳）,规律运动（有氧/HIIT）线粒体适应
P20-ctrl-empty,CASE-005,general,0.9,L1,络脉-清瘀(senolytics); 正邪-炎症,活血祛瘀 / 通络（清瘀滞）,"Senolytics（Dasatinib+Quercetin, D+Q）IPF 先导"
P20-ctrl-empty,CASE-006,general,0.9,L1,络脉-清瘀(senolytics); 先天-肾精(表观时钟),扶正祛瘀 / 延缓衰老,D+Q intermittent dosing (AFFIRM trial)
P20-ctrl-empty,CASE-007,general,0.9,L1,阴阳-昼夜(CLOCK/BMAL1),子午流注 / 阳气当令进食,Early vs Late TRE (12-week RCT)
P20-ctrl-empty,CASE-008,general,0.9,L1,阴阳-昼夜(CLOCK/BMAL1); 正邪-炎症,节律饮食 / 运化痰湿,16:8 限时进食 4 个月（肝脂）
P20-ctrl-empty,CASE-030,general,0.9,L1,阴阳-昼夜(CLOCK/BMAL1); 正邪-炎症,节律饮食/运化痰湿,Intermittent fasting strategies network meta-analysis
P21-contra-FD,CASE-008,personalized,6,L1,阴阳-昼夜(CLOCK/BMAL1); 正邪-炎症,节律饮食 / 运化痰湿,16:8 限时进食 4 个月（肝脂）
P21-contra-FD,CASE-030,personalized,6,L1,阴阳-昼夜(CLOCK/BMAL1); 正邪-炎症,节律饮食/运化痰湿,Intermittent fasting strategies network meta-analysis
P21-contra-FD,CASE-009,personalized,4,L2,阴阳-昼夜(CLOCK/BMAL1); 正邪-炎症; 先天-肾精(表观时钟),节律养生 / 扶正,16:8 限时进食 抗衰抗炎（协和/湘雅）
P21-contra-FD,CASE-001,personalized,3,L1,气化/自噬(AMPK-mTOR); 阴阳-昼夜(CLOCK/BMAL1),气化 / 脾运化（促运化、通腑）,间歇性断食(IF) 4 周
P21-contra-FD,CASE-005,personalized,3,L1,络脉-清瘀(senolytics); 正邪-炎症,活血祛瘀 / 通络（清瘀滞）,"Senolytics（Dasatinib+Quercetin, D+Q）IPF 先导"
P21-contra-FD,CASE-007,personalized,3,L1,阴阳-昼夜(CLOCK/BMAL1),子午流注 / 阳气当令进食,Early vs Late TRE (12-week RCT)
P21-contra-FD,CASE-002,personalized,2,L2,气化/自噬(AMPK-mTOR); 阴阳-昼夜(CLOCK/BMAL1),气化 / 节律（子午流注雏形）,间歇性断食 vs 限时进食(TRF) 20 天
P21-contra-FD,CASE-010,personalized,2,L2,气化/自噬(AMPK-mTOR); 阴阳-昼夜(CLOCK/BMAL1),气化失司 / 血糖波动（未病先防）,连续血糖监测(CGM) 餐后暴露
P22-all8,CASE-001,personalized,6,L1,气化/自噬(AMPK-mTOR); 阴阳-昼夜(CLOCK/BMAL1),气化 / 脾运化（促运化、通腑）,间歇性断食(IF) 4 周
P22-all8,CASE-003,personalized,6,L1,气化/自噬(AMPK-mTOR); 先天-肾精(表观时钟),辟谷 / 气化重启,模拟禁食(FMD) 3 个月
P22-all8,CASE-004,personalized,6,L1,气血-线粒体(PGC-1α/SIRT); 神-情志(HRV/EEG),导引 / 行气（动则生阳）,规律运动（有氧/HIIT）线粒体适应
P22-all8,CASE-005,personalized,6,L1,络脉-清瘀(senolytics); 正邪-炎症,活血祛瘀 / 通络（清瘀滞）,"Senolytics（Dasatinib+Quercetin, D+Q）IPF 先导"
P22-all8,CASE-006,personalized,6,L1,络脉-清瘀(senolytics); 先天-肾精(表观时钟),扶正祛瘀 / 延缓衰老,D+Q intermittent dosing (AFFIRM trial)
P22-all8,CASE-008,personalized,6,L1,阴阳-昼夜(CLOCK/BMAL1); 正邪-炎症,节律饮食 / 运化痰湿,16:8 限时进食 4 个月（肝脂）
P22-all8,CASE-009,personalized,6,L2,阴阳-昼夜(CLOCK/BMAL1); 正邪-炎症; 先天-肾精(表观时钟),节律养生 / 扶正,16:8 限时进食 抗衰抗炎（协和/湘雅）
P22-all8,CASE-024,personalized,6,L2,脏腑-神经内分泌; 正邪-炎症; 神-情志(HRV/EEG),针灸/针刺 足三里——扶正祛邪、疏通经络、调和气血（F/E/G 轴机制实证）,"电针足三里(ST36, 0.5 mA)抗炎"
